AREA_CD,AREA_NM,center_lat,center_lng,radius_km,source,needs_review
POI001,강남 MICE 관광특구,37.5665,126.978,2.0,failed,True
POI002,동대문 관광특구,37.569193252641526,127.01282716149097,2.0,kakao_api,False
POI003,명동 관광특구,37.5626571977151,126.985209080382,2.0,kakao_api,False
POI004,이태원 관광특구,37.5349073364554,126.997388675434,2.0,kakao_api,False
POI005,잠실 관광특구,37.5665,126.978,2.0,failed,True
POI006,종로·청계 관광특구,37.5665,126.978,2.0,failed,True
POI007,홍대 관광특구,37.5665,126.978,2.0,failed,True
POI008,경복궁,37.577613288258206,126.97689786832184,2.0,kakao_api,False
POI009,광화문·덕수궁,37.5665,126.978,2.0,failed,True
POI010,보신각,37.5697676518348,126.983645583112,2.0,kakao_api,False
POI011,서울 암사동 유적,37.5605464139303,127.130257802123,2.0,kakao_api,False
POI012,창덕궁·종묘,37.5665,126.978,2.0,failed,True
POI013,가산디지털단지역,37.4803959660982,126.882661758356,2.0,kakao_api,False
POI014,강남역,37.49808633653005,127.02800140627488,2.0,kakao_api,False
POI015,건대입구역,37.54040751726388,127.06920291650829,2.0,kakao_api,False
POI016,고덕역,37.55504766830918,127.15416500963447,2.0,kakao_api,False
POI017,고속터미널역,37.50454885557265,127.00512100872538,2.0,kakao_api,False
POI018,교대역,37.4927431676548,127.013867969161,2.0,kakao_api,False
POI019,구로디지털단지역,37.4852605752505,126.901473080039,2.0,kakao_api,False
POI020,구로역,37.50334155631282,126.88230806229326,2.0,kakao_api,False
POI021,군자역,37.557151488837924,127.0795106156054,2.0,kakao_api,False
POI023,대림역,37.4933099444417,126.894931036051,2.0,kakao_api,False
POI024,동대문역,37.57166940579655,127.0106338108367,2.0,kakao_api,False
POI025,뚝섬역,37.547241554679,127.04738727881,2.0,kakao_api,False
POI026,미아사거리역,37.61327836400571,127.03008663628454,2.0,kakao_api,False
POI027,발산역,37.558677743241596,126.83773640693936,2.0,kakao_api,False
