순위,광역시/도,시/군/구,관광지명,중분류 카테고리,소분류 카테고리,검색건수
3,서울특별시,영등포구,더현대서울,쇼핑,백화점,874296
5,서울특별시,송파구,가락동농수산물도매시장,쇼핑,시장,715801
6,서울특별시,강남구,코엑스,문화관광,전시시설,692447
7,서울특별시,서초구,신세계백화점강남점,쇼핑,백화점,683835
8,서울특별시,영등포구,타임스퀘어,쇼핑,쇼핑몰,676320
9,서울특별시,용산구,HDC아이파크몰용산점,쇼핑,백화점,654867
11,서울특별시,송파구,롯데월드몰,쇼핑,쇼핑몰,544223
12,서울특별시,동작구,노량진수산시장,쇼핑,시장,511167
14,서울특별시,영등포구,IFC몰,쇼핑,쇼핑몰,428507
15,서울특별시,중구,롯데백화점본점,쇼핑,백화점,388521
16,서울특별시,광진구,동서울종합터미널,기타관광,교통시설,382982
19,서울특별시,양천구,현대백화점목동점,쇼핑,백화점,378709
20,서울특별시,송파구,롯데월드잠실점,문화관광,테마공원,357082
21,서울특별시,강남구,현대백화점무역센터점,쇼핑,백화점,333726
22,서울특별시,강남구,현대백화점압구정본점,쇼핑,백화점,327825
23,서울특별시,송파구,롯데백화점잠실점,쇼핑,백화점,324072
25,서울특별시,용산구,국립중앙박물관,문화관광,전시시설,305795
26,서울특별시,서초구,예술의전당,문화관광,공연시설,301663
27,서울특별시,영등포구,여의도한강공원,문화관광,도시공원,298641
28,서울특별시,송파구,가든파이브라이프,쇼핑,쇼핑몰,285452
30,서울특별시,광진구,어린이대공원,문화관광,테마공원,271028
32,서울특별시,동대문구,롯데백화점청량리점,쇼핑,백화점,260076
33,서울특별시,노원구,롯데백화점노원점,쇼핑,백화점,256760
34,서울특별시,중구,신세계백화점본점디에스테이트,쇼핑,백화점,254167
35,서울특별시,은평구,롯데몰은평점,쇼핑,쇼핑몰,228543
36,서울특별시,송파구,올림픽공원,문화관광,도시공원,223631
37,서울특별시,강동구,현대백화점천호점,쇼핑,백화점,221317
38,서울특별시,서초구,신세계센트럴시티터미널호남선,기타관광,교통시설,214291
39,서울특별시,용산구,CGV용산아이파크몰,문화관광,공연시설,209494
40,서울특별시,강서구,NC백화점강서점,쇼핑,백화점,181629
41,서울특별시,중구,신세계백화점본점더리저브,쇼핑,백화점,179416
42,서울특별시,강서구,강서농산물도매시장,쇼핑,시장,178731
43,서울특별시,서대문구,현대백화점신촌점,쇼핑,백화점,178395
44,서울특별시,성북구,현대백화점미아점,쇼핑,백화점,177658
45,서울특별시,서초구,서울남부터미널,기타관광,교통시설,173892
46,서울특별시,강남구,롯데백화점강남점,쇼핑,백화점,166202
47,서울특별시,서초구,반포한강공원,문화관광,도시공원,165654
48,서울특별시,서초구,헌릉과 인릉,역사관광,역사유적지,164529
49,서울특별시,성동구,서울숲,문화관광,도시공원,161659
50,서울특별시,중구,현대시티아울렛동대문점,쇼핑,쇼핑몰,160087
51,서울특별시,종로구,경복궁,역사관광,역사유적지,144699
52,서울특별시,영등포구,롯데백화점영등포점,쇼핑,백화점,143723
53,서울특별시,금천구,현대시티아울렛가산점,쇼핑,쇼핑몰,142250
54,서울특별시,광진구,뚝섬한강공원,문화관광,도시공원,139998
56,서울특별시,마포구,서울월드컵경기장,문화관광,레저스포츠시설,139329
57,서울특별시,강서구,서울식물원,문화관광,테마공원,138257
58,서울특별시,영등포구,신세계백화점타임스퀘어점,쇼핑,백화점,137202
59,서울특별시,송파구,현대시티아울렛가든파이브점,쇼핑,쇼핑몰,127958
60,서울특별시,종로구,국립현대미술관서울관,문화관광,전시시설,124570
61,서울특별시,종로구,동대문종합시장,쇼핑,시장,120054
62,서울특별시,용산구,전쟁기념관,문화관광,전시시설,119824
63,서울특별시,동대문구,경동시장,쇼핑,시장,118921
64,서울특별시,강남구,갤러리아백화점명품관EAST,쇼핑,백화점,117301
65,서울특별시,구로구,NC백화점신구로점,쇼핑,백화점,111845
66,서울특별시,송파구,가든파이브툴,쇼핑,쇼핑몰,111257
67,서울특별시,송파구,잠실야구장,문화관광,레저스포츠시설,110427
68,서울특별시,강서구,코엑스마곡,문화관광,전시시설,109904
69,서울특별시,송파구,가락몰,쇼핑,시장,108838
70,서울특별시,종로구,팔각정북악스카이,문화관광,랜드마크관광,108590
71,서울특별시,마포구,망원시장,쇼핑,시장,108300
72,서울특별시,서초구,뉴코아아울렛강남점,쇼핑,대형마트,106483
73,서울특별시,강북구,롯데백화점미아점,쇼핑,백화점,105942
74,서울특별시,중구,국립극장,문화관광,공연시설,105134
75,서울특별시,강남구,봉은사,역사관광,종교성지,104640
76,서울특별시,강남구,갤러리아백화점명품관WEST,쇼핑,백화점,103274
77,서울특별시,마포구,망원한강공원,문화관광,도시공원,103223
78,서울특별시,광진구,롯데백화점건대스타시티점,쇼핑,백화점,101706
80,서울특별시,동작구,롯데백화점관악점,쇼핑,백화점,100070
81,서울특별시,구로구,고척스카이돔,문화관광,레저스포츠시설,99532
82,서울특별시,강서구,수협강서수산시장,쇼핑,시장,98156
83,서울특별시,송파구,롯데백화점에비뉴엘월드타워점,쇼핑,백화점,92393
84,서울특별시,은평구,NC백화점불광점,쇼핑,백화점,92126
85,서울특별시,강서구,원그로브,쇼핑,쇼핑몰,90721
86,서울특별시,강남구,잠원한강공원,문화관광,도시공원,88296
